PID	Name	Description	Price	Cost	FeatureVector
0	Aethelred Luxury Chronograph	"A Swiss-made automatic timepiece with a polished stainless steel case, sapphire crystal glass, and a handcrafted alligator leather strap. A symbol of timeless elegance and precision engineering."	499	400	"[0.9, 0.2, 0.9, 0.1, -0.8]"
1	Aura Smart Thermostat	"An AI-powered thermostat that learns your schedule to optimize heating and cooling, saving up to 20% on energy bills. Features a sleek, minimalist design and remote control via a mobile app."	180	110	"[0.6, 0.9, 0.6, 0.8, 0.9]"
2	Artisan Handcrafted Leather Tote	"A full-grain leather tote bag, stitched by hand. Develops a unique patina over time. Perfect for daily use, combining classic style with robust construction."	99	14	"[0.8, 0.6, 0.9, 0.3, -0.9]"
3	Terra Organic Cotton T-Shirt	"A classic crewneck t-shirt made from 100% GOTS-certified organic cotton. Soft, breathable, and ethically produced in a carbon-neutral factory."	40	8	"[0.2, 0.5, 0.5, 0.9, -0.5]"
4	Pulse Budget Bluetooth Speaker	"A compact, portable speaker with 8 hours of battery life and decent sound quality for its price. Housed in a generic plastic casing. Ideal for students or casual listeners."	30	12	"[-0.7, 0.8, -0.6, -0.4, 0.2]"
5	EcoScribe Recycled Notebook Trio	"A set of three A5 notebooks made from 100% post-consumer recycled paper. Simple, functional, and perfect for jotting down notes while minimizing environmental impact."	15	6	"[-0.4, 0.6, -0.5, 0.9, -0.8]"
6	AeroSight 4K Professional Drone	"A high-performance quadcopter with a 4K HDR camera, 3-axis gimbal, 30-minute flight time, and advanced obstacle avoidance sensors. For serious aerial photographers and videographers."	700	550	"[0.4, 0.9, 0.7, 0.2, 1.0]"
7	Calligrapher Antique Fountain Pen	"A vintage-style fountain pen with a gold-plated nib and a polished resin body. Delivers a smooth, classic writing experience. A throwback to a more deliberate era of communication."	95	40	"[0.8, 0.3, 0.8, 0.1, -1.0]"
8	Party Time Disposable Plates (100pk)	"A bulk pack of paper plates for events and parties. Designed for single use and convenience, allowing for quick and easy cleanup. Not recyclable due to food contamination."	20	3	"[-0.9, 0.8, -1.0, -1.0, -0.5]"
9	Andes Gold Fair-Trade Coffee	"Single-origin, whole-bean Arabica coffee grown in a sustainable, bird-friendly cooperative. Features notes of chocolate and citrus. Certified fair-trade and organic."	25	5	"[0.4, 0.2, 0.1, 1.0, -0.3]"
10	ErgoForm Ergonomic Office Chair	"A fully adjustable office chair with lumbar support, breathable mesh back, and 4D armrests. Designed for all-day comfort and to promote healthy posture. Built with high-density foam and a steel frame."	550	490	"[0.1, 1.0, 0.9, 0.2, 0.3]"
11	Cube Flat-Pack Bookshelf	"A basic, four-shelf bookshelf made from particle board with a laminate finish. Requires self-assembly. A functional, low-cost solution for storage but not built to last a lifetime."	50	15	"[-0.8, 0.7, -0.8, -0.6, -0.4]"
12	SunStream Solar Power Bank	"A rugged, portable 20,000mAh charger with built-in solar panels for emergency recharging. Water-resistant and shockproof, it's ideal for hiking, camping, and off-grid adventures."	65	28	"[0.1, 0.9, 0.7, 0.9, 0.8]"
13	Eclat Designer Silk Scarf	"A 100% mulberry silk scarf featuring a vibrant, abstract print from a celebrated contemporary designer. Extremely delicate and purely an aesthetic statement piece."	199	25	"[1.0, -0.7, -0.6, 0.2, 0.5]"
14	Lumen Generic LED Bulbs (4-pack)	"A four-pack of standard A19 LED light bulbs. Energy-efficient and long-lasting, but offers no smart features or special design. A purely utilitarian product."	25	4	"[-0.9, 0.9, 0.6, 0.4, -0.9]"
15	The Hearth Artisan Sourdough Loaf	"A rustic, naturally leavened sourdough bread, baked daily in a stone oven. Made with organic heritage wheat. Best enjoyed within two days."	12	2	"[0.6, 0.4, -0.9, 0.8, -0.7]"
16	Nexus VR Gaming Headset	"A next-generation virtual reality headset with 4K per-eye resolution, inside-out tracking, and haptic feedback controllers. Delivers an immersive, cutting-edge gaming experience."	699	529	"[0.3, 0.8, 0.5, 0.1, 1.0]"
17	Highlander Hand-Knit Wool Sweater	"A thick, durable sweater made from ethically sourced merino wool and knitted by hand. Incredibly warm and made to last for decades, with a classic cable-knit design."	280	150	"[0.6, 0.7, 1.0, 0.9, -1.0]"
18	Hydra Insulated Steel Water Bottle	A double-wall vacuum-insulated stainless steel bottle that keeps drinks cold for 24 hours or hot for 12. BPA-free and built to withstand daily use and abuse.	35	5	"[0.1, 1.0, 0.9, 0.8, -0.2]"
19	The Odyssey Classic Hardcover	A beautifully bound hardcover edition of the timeless epic. Printed on acid-free paper with a durable cloth cover. A permanent addition to any home library.	45	14	"[0.5, 0.1, 0.8, 0.2, -1.0]"
20	Breathe AI-Powered Air Purifier	A smart air purifier that automatically detects and removes 99.97% of airborne pollutants. Adjusts its fan speed based on real-time air quality data and integrates with home automation systems.	278	198	"[0.5, 0.9, 0.6, 0.3, 0.9]"
21	Verdant Bamboo Toothbrush Set (4pk)	A set of four toothbrushes with handles made from 100% biodegradable bamboo and charcoal-infused bristles. A simple switch to reduce plastic waste in the bathroom.	20	3	"[-0.5, 0.5, -0.7, 1.0, -0.6]"
22	Silence Pro Noise-Cancelling Headphones	"Over-ear headphones with industry-leading active noise cancellation, high-fidelity audio, and a 30-hour battery life. Perfect for travel, open offices, and immersive listening."	255	195	"[0.5, 1.0, 0.7, 0.2, 0.8]"
