TID	CID	Date	Order	OrderProfit	OrderSize
72	5	2024-10-02	[(4, 1), (8, 1), (11, 1), (40, 1)]	59	4
464	27	2024-10-02	[(42, 1)]	110	1
521	30	2024-10-02	[(41, 1)]	95	1
88	6	2024-10-04	[(5, 1), (21, 1), (15, 1), (14, 1)]	30	4
465	27	2024-10-04	[(27, 1), (14, 1)]	71	2
485	28	2024-10-04	[(32, 1), (31, 1), (15, 1)]	65	3
599	37	2024-10-04	[(14, 1), (23, 1), (46, 1)]	67	3
564	35	2024-10-05	[(2, 1), (47, 1)]	1750	2
539	31	2024-10-06	[(25, 1)]	240	1
325	20	2024-10-07	[(29, 1), (2, 1), (17, 1)]	590	3
578	36	2024-10-08	[(6, 1), (45, 1), (20, 1), (33, 1), (22, 1)]	3465	5
73	5	2024-10-09	[(42, 1), (24, 1), (27, 1)]	188	3
503	29	2024-10-10	[(42, 1)]	110	1
161	13	2024-10-11	[(14, 1), (18, 1), (38, 1)]	74	3
347	21	2024-10-11	[(17, 1), (34, 1), (19, 1)]	332	3
366	22	2024-10-11	[(25, 1), (20, 1), (1, 1), (45, 1), (6, 1)]	3440	5
264	17	2024-10-14	[(29, 1), (2, 1), (47, 1)]	1910	3
367	22	2024-10-14	[(22, 1), (43, 1)]	374	2
187	14	2024-10-15	[(25, 1), (20, 1), (22, 1)]	665	3
522	30	2024-10-16	[(1, 1)]	140	1
441	26	2024-10-17	[(24, 1)]	13	1
58	4	2024-10-19	[(25, 2), (45, 2)]	5080	4
162	13	2024-10-19	[(3, 1), (37, 1)]	105	2
424	25	2024-10-19	[(11, 1)]	28	1
466	27	2024-10-19	[(36, 1), (4, 1), (35, 1), (11, 1), (40, 1)]	556	5
425	25	2024-10-20	[(8, 1), (40, 2), (4, 2), (42, 1), (24, 1), (5, 1), (27, 1)]	251	9
523	30	2024-10-20	[(20, 1), (25, 1)]	450	2
123	9	2024-10-21	[(24, 1), (13, 1)]	148	2
407	24	2024-10-22	[(49, 1)]	95	1
89	6	2024-10-23	[(3, 1)]	25	1
217	15	2024-10-23	[(19, 2), (34, 1)]	179	3
467	27	2024-10-23	[(10, 1)]	300	1
218	15	2024-10-24	[(47, 1)]	1500	1
124	9	2024-10-25	[(8, 1)]	8	1
141	10	2024-10-25	[(20, 1), (43, 1), (6, 1), (16, 1)]	1268	4
283	18	2024-10-25	[(46, 1)]	31	1
303	19	2024-10-25	[(3, 1), (38, 1), (18, 1), (17, 1), (14, 1), (46, 1)]	310	6
565	35	2024-10-25	[(29, 1)]	160	1
284	18	2024-10-26	[(2, 1), (7, 1), (30, 1)]	385	3
566	35	2024-10-26	[(0, 1)]	1700	1
579	36	2024-10-26	[(16, 2), (43, 1), (25, 1), (1, 1)]	1237	5
163	13	2024-10-27	[(23, 1)]	30	1
387	23	2024-10-29	[(25, 1), (1, 1), (26, 1), (20, 1)]	695	4
59	4	2024-10-30	[(22, 1), (6, 1), (20, 4), (10, 1)]	1905	7
326	20	2024-10-30	[(47, 1)]	1500	1
368	22	2024-10-31	[(16, 1)]	349	1
468	27	2024-10-31	[(23, 2), (28, 1), (30, 1)]	370	4
618	38	2024-10-31	[(49, 1), (29, 1)]	255	2
188	14	2024-11-01	[(49, 1)]	95	1
265	17	2024-11-01	[(0, 1)]	1700	1
486	28	2024-11-01	[(21, 1), (44, 1), (9, 1)]	42	3
567	35	2024-11-01	[(7, 1), (17, 1), (34, 1), (46, 1), (19, 1), (30, 1), (23, 1), (3, 1), (49, 1), (18, 2)]	690	11
